Date,Forecast,Lower,Upper
2025-03-23,67816.89586193122,65150.74551494812,70622.95304695751
2025-03-24,67844.020997781,64991.11331459913,70478.18541778308
2025-03-25,67852.61866773009,65316.25425447683,70486.89389970768
2025-03-26,67864.5088931844,65244.106654019975,70556.25131633115
2025-03-27,67872.05664895248,65441.58579617895,70629.70554637496
2025-03-28,67873.04765563244,65073.511064919214,70596.87759041465
2025-03-29,67883.42632008957,65188.11396762276,70632.38566237988
2025-03-30,67893.15175932251,65315.505139771834,70618.82792926143
2025-03-31,67926.6095183824,65258.191505755145,70639.76595751577
2025-04-01,67942.041208006,65344.03830772746,70635.1711434595
2025-04-02,67961.18766547622,65117.67072938392,70699.75095717488
2025-04-03,67976.32138361277,65121.28916018856,70646.9686456662
2025-04-04,67985.12382008364,65459.34914977905,70575.23198018756
2025-04-05,68003.42524405957,65172.93220691486,70683.39586630938
2025-04-06,68021.06301309851,65225.210998777075,70620.20043354924
